comment_id,video_id,video_title,channel_title,author,comment_text,published_at,like_count,reply_count,service_category,ground_truth_sentiment
Ugx_CLARO_FI_00332,CLARO_FIBRA_2025,Claro Dominicana - Nueva Fibra Óptica Simétrica hasta 1000 Mbps,Claro República Dominicana,ramon_santos_sd_683,Aumentaron la tarifa del plan pospago sin avisar previamente por correo o SMS. Un abuso.,2025-06-15T12:11:51Z,1,0,Fibra Óptica e Internet Hogar,NEGATIVO
Ugx_CLARO_FI_00045,CLARO_FIBRA_2025,Claro Dominicana - Nueva Fibra Óptica Simétrica hasta 1000 Mbps,Claro República Dominicana,alex_dev_rd_957,"Los técnicos vinieron, no revisaron la caja exterior y dijeron que todo estaba bien. Sigo sin internet.",2025-06-15T15:52:34Z,0,1,Fibra Óptica e Internet Hogar,NEGATIVO
Ugx_CLARO_FI_00484,CLARO_FIBRA_2025,Claro Dominicana - Nueva Fibra Óptica Simétrica hasta 1000 Mbps,Claro República Dominicana,elena_gomez_rd_771,"La velocidad contratada de 100 megas nunca llega completa, apenas marca 30 en Speedtest.",2025-06-16T06:52:55Z,1,1,Fibra Óptica e Internet Hogar,NEGATIVO
Ugx_CLARO_FI_00956,CLARO_FIBRA_2025,Claro Dominicana - Nueva Fibra Óptica Simétrica hasta 1000 Mbps,Claro República Dominicana,carlos_m_rd_892,Me están facturando un paquete de canales que cancelé hace dos meses. Qué desastre.,2025-06-16T06:54:14Z,1,0,Fibra Óptica e Internet Hogar,NEGATIVO
Ugx_CLARO_FI_00567,CLARO_FIBRA_2025,Claro Dominicana - Nueva Fibra Óptica Simétrica hasta 1000 Mbps,Claro República Dominicana,pedro_perez_do_720,"Pésimo servicio al cliente, llevo 3 días esperando que me reparen una avería de internet en Herrera.",2025-06-18T10:28:27Z,0,1,Fibra Óptica e Internet Hogar,NEGATIVO
Ugx_CLARO_FI_00270,CLARO_FIBRA_2025,Claro Dominicana - Nueva Fibra Óptica Simétrica hasta 1000 Mbps,Claro República Dominicana,tecnico_rd23_433,El internet se cae todos los fines de semana por la noche. Muy inestable.,2025-06-18T14:01:33Z,1,0,Fibra Óptica e Internet Hogar,NEGATIVO
Ugx_CLARO_FI_00674,CLARO_FIBRA_2025,Claro Dominicana - Nueva Fibra Óptica Simétrica hasta 1000 Mbps,Claro República Dominicana,claudia_mella_508,"El router que instalan es malísimo, a 5 metros ya no llega la señal de Wi-Fi.",2025-06-19T05:44:37Z,5,0,Fibra Óptica e Internet Hogar,NEGATIVO
Ugx_CLARO_FI_01234,CLARO_FIBRA_2025,Claro Dominicana - Nueva Fibra Óptica Simétrica hasta 1000 Mbps,Claro República Dominicana,luis_almonte_sti_875,"El 5G en el Distrito Nacional vuela, me dio más de 450 Mbps de bajada en el test.",2025-06-19T09:22:23Z,0,1,Fibra Óptica e Internet Hogar,POSITIVO
Ugx_CLARO_FI_00424,CLARO_FIBRA_2025,Claro Dominicana - Nueva Fibra Óptica Simétrica hasta 1000 Mbps,Claro República Dominicana,laura_santiago_423,Esperando que extiendan la fibra óptica a la provincia de La Vega.,2025-06-19T23:47:18Z,0,0,Fibra Óptica e Internet Hogar,NEUTRO
Ugx_CLARO_FI_00392,CLARO_FIBRA_2025,Claro Dominicana - Nueva Fibra Óptica Simétrica hasta 1000 Mbps,Claro República Dominicana,luis_almonte_sti_519,Información sobre los requisitos para portabilidad numérica desde otra compañía por favor.,2025-06-21T05:05:40Z,0,7,Fibra Óptica e Internet Hogar,NEUTRO
