comment_id,video_id,video_title,channel_title,author,comment_text,published_at,like_count,reply_count,service_category,clean_text,tokens_analisis,topic_category,sentiment_label,sentiment_score
Ugw0TB4CCxNZNmBk2BF4AaABAg,z5VRwDNAoJY,Claro RD - La Conexión que nos une,Claro RD,@esperanzaraposo9198,Pueden aser.esa publicidad más corta,2026-08-30T19:05:27Z,0,0,Experiencia General de Marca,pueden aser esa publicidad ma s corta,pueden aser publicidad corta,Experiencia General de Marca,NEUTRO,0.6
UgzjchBHvjAc4chsB0N4AaABAg,tFedIElQiLs,0800 CLARO 🔴 Número de Teléfono de Atención al Cliente (2026),Claro RD,@donuba1945,Me obligan a poner recarga amenazándome con eliminar la línea soy Ubaldo Gutiérrez Cadena de tercera edad y discapacitado,2026-08-26T16:54:27Z,0,0,Facturación y Tarifas,me obligan a poner recarga amenaza ndome con eliminar la li nea soy ubaldo gutie rrez cadena de tercera edad y discapacitado,obligan poner recarga amenaza ndome eliminar nea ubaldo gutie rrez cadena tercera edad discapacitado,Facturación y Tarifas,NEUTRO,0.6
Ugy5I6OSoXT4i6mfJjZ4AaABAg,tFedIElQiLs,0800 CLARO 🔴 Número de Teléfono de Atención al Cliente (2026),Claro RD,@JuniorDelgado-e2s,Mi numero,2026-08-24T21:44:26Z,0,0,Experiencia General de Marca,mi numero,numero,Experiencia General de Marca,NEUTRO,0.6
Ugw4Vsx_yophrsUf85N4AaABAg,LS31ag67aww,Claro RD - Pasos para activar Red 5G en tu equipo Android,Claro RD,@EddinVargas,"Es muy inestable se va y viene mucho, no recomiendo k ka usen aun",2026-08-23T15:12:53Z,0,0,Red Móvil y Cobertura 5G,es muy inestable se va y viene mucho no recomiendo k ka usen aun,inestable viene recomiendo usen aun,Experiencia General de Marca,POSITIVO,0.85
UgxwiRawshLIY-NNTkJ4AaABAg,OwIQi9ngosg,La red 5G de Claro llega a más ciudades,Claro RD,@WilmerChoc-d8r9n,La señal LTE mas rapido,2026-08-21T21:59:38Z,0,0,Red Móvil y Cobertura 5G,la sen al lte mas rapido,sen lte mas rapido,Red Móvil y Cobertura 5G,POSITIVO,0.75
UgzIQrPpISl3VlCr0fh4AaABAg,z5VRwDNAoJY,Claro RD - La Conexión que nos une,Claro RD,@RuthEstherRosadoGomez-l7f3g,😊,2026-08-21T14:03:44Z,3,0,Experiencia General de Marca,,,Experiencia General de Marca,NEUTRO,0.5
UgxBOnVqujA1ji43J4R4AaABAg,cXJfXbWC248,👉CON ESTE CODIGO EVITAS que CLARO te CONSUMA SALDO SIN PERMISO.,Claro RD,@EstibenSigal-r1c,Ese código es de yamar emergencia 😅,2026-08-21T12:53:19Z,0,0,Experiencia General de Marca,ese co digo es de yamar emergencia,digo yamar emergencia,Experiencia General de Marca,NEUTRO,0.6
UgxFBO64-nspwuQRmyZ4AaABAg,z5VRwDNAoJY,Claro RD - La Conexión que nos une,Claro RD,@adrianourena3554,Buenas tardes espero que estés bien como representante de nuestra sierra y comunidad de Celestina y el proyecto de plan sierra la Celestina le solicitamos una antena y para pananao y todavía no tenemos respuesta merecemos un mejor servicio pero no lo tenemos unidos somos más ➕,2026-08-19T22:05:31Z,3,0,Atención al Cliente y Soporte,buenas tardes espero que este s bien como representante de nuestra sierra y comunidad de celestina y el proyecto de plan sierra la celestina le solicitamos una antena y para pananao y todavi a no tenemos respuesta merecemos un mejor servicio pero no lo tenemos unidos somos ma s,buenas espero bien representante sierra comunidad celestina proyecto plan sierra celestina solicitamos antena pananao todavi respuesta merecemos mejor servicio unidos,Atención al Cliente y Soporte,POSITIVO,0.75
UgwlRB5LGS_qVzGl_SB4AaABAg,z5VRwDNAoJY,Claro RD - La Conexión que nos une,Claro RD,@jennycastillom4878,En el sector Jerusalénl ( los paredones) de santo Domingo este no tenemos internet de claro ni líneas telefónicas. Me mudé hace 5 años aquí ese tiempo tengo esperando para volver a tener internet de claro.,2026-08-18T23:34:14Z,2,1,Fibra Óptica e Internet Hogar,en el sector jerusale nl los paredones de santo domingo este no tenemos internet de claro ni li neas telefo nicas me mude hace an os aqui ese tiempo tengo esperando para volver a tener internet de claro,sector jerusale paredones santo domingo internet neas telefo nicas mude hace aqui tiempo esperando volver tener internet,Fibra Óptica e Internet Hogar,NEGATIVO,0.75
UgwxRnERKMPhj9GFOzd4AaABAg,z5VRwDNAoJY,Claro RD - La Conexión que nos une,Claro RD,@mayobanexvargas314,"Cuando pondrán fibra óptica para acá en El Nieto, Bajos de Haina?? Para así tener combo triple al tiempo",2026-08-18T21:48:54Z,1,1,Fibra Óptica e Internet Hogar,cuando pondra n fibra o ptica para aca en el nieto bajos de haina para asi tener combo triple al tiempo,pondra fibra ptica aca nieto bajos haina asi tener combo triple tiempo,Fibra Óptica e Internet Hogar,NEUTRO,0.6
