comment_id,video_id,video_title,channel_title,author,comment_text,published_at,like_count,reply_count,service_category
Ugw0TB4CCxNZNmBk2BF4AaABAg,z5VRwDNAoJY,Claro RD - La Conexión que nos une,Claro RD,@esperanzaraposo9198,Pueden aser.esa publicidad más corta,2026-08-30T19:05:27Z,0,0,Experiencia General de Marca
UgzjchBHvjAc4chsB0N4AaABAg,tFedIElQiLs,0800 CLARO 🔴 Número de Teléfono de Atención al Cliente (2026),Claro RD,@donuba1945,Me obligan a poner recarga amenazándome con eliminar la línea soy Ubaldo Gutiérrez Cadena de tercera edad y discapacitado,2026-08-26T16:54:27Z,0,0,Facturación y Tarifas
Ugy5I6OSoXT4i6mfJjZ4AaABAg,tFedIElQiLs,0800 CLARO 🔴 Número de Teléfono de Atención al Cliente (2026),Claro RD,@JuniorDelgado-e2s,Mi numero,2026-08-24T21:44:26Z,0,0,Experiencia General de Marca
Ugw4Vsx_yophrsUf85N4AaABAg,LS31ag67aww,Claro RD - Pasos para activar Red 5G en tu equipo Android,Claro RD,@EddinVargas,"Es muy inestable se va y viene mucho, no recomiendo k ka usen aun",2026-08-23T15:12:53Z,0,0,Red Móvil y Cobertura 5G
UgxwiRawshLIY-NNTkJ4AaABAg,OwIQi9ngosg,La red 5G de Claro llega a más ciudades,Claro RD,@WilmerChoc-d8r9n,La señal LTE mas rapido,2026-08-21T21:59:38Z,0,0,Red Móvil y Cobertura 5G
UgzIQrPpISl3VlCr0fh4AaABAg,z5VRwDNAoJY,Claro RD - La Conexión que nos une,Claro RD,@RuthEstherRosadoGomez-l7f3g,😊,2026-08-21T14:03:44Z,3,0,Experiencia General de Marca
UgxBOnVqujA1ji43J4R4AaABAg,cXJfXbWC248,👉CON ESTE CODIGO EVITAS que CLARO te CONSUMA SALDO SIN PERMISO.,Claro RD,@EstibenSigal-r1c,Ese código es de yamar emergencia 😅,2026-08-21T12:53:19Z,0,0,Experiencia General de Marca
UgxFBO64-nspwuQRmyZ4AaABAg,z5VRwDNAoJY,Claro RD - La Conexión que nos une,Claro RD,@adrianourena3554,Buenas tardes espero que estés bien como representante de nuestra sierra y comunidad de Celestina y el proyecto de plan sierra la Celestina le solicitamos una antena y para pananao y todavía no tenemos respuesta merecemos un mejor servicio pero no lo tenemos unidos somos más ➕,2026-08-19T22:05:31Z,3,0,Atención al Cliente y Soporte
UgwlRB5LGS_qVzGl_SB4AaABAg,z5VRwDNAoJY,Claro RD - La Conexión que nos une,Claro RD,@jennycastillom4878,En el sector Jerusalénl ( los paredones) de santo Domingo este no tenemos internet de claro ni líneas telefónicas. Me mudé hace 5 años aquí ese tiempo tengo esperando para volver a tener internet de claro.,2026-08-18T23:34:14Z,2,1,Fibra Óptica e Internet Hogar
UgwxRnERKMPhj9GFOzd4AaABAg,z5VRwDNAoJY,Claro RD - La Conexión que nos une,Claro RD,@mayobanexvargas314,"Cuando pondrán fibra óptica para acá en El Nieto, Bajos de Haina?? Para así tener combo triple al tiempo",2026-08-18T21:48:54Z,1,1,Fibra Óptica e Internet Hogar
UgyQukzpAc2SPUYiKLV4AaABAg,z5VRwDNAoJY,Claro RD - La Conexión que nos une,Claro RD,@Rey_supremoMichael,En mata larga aqui es muy mala la señal mejorenla,2026-08-18T20:43:23Z,0,1,Experiencia General de Marca
UgxniIEd3LwhSmJUfTJ4AaABAg,z5VRwDNAoJY,Claro RD - La Conexión que nos une,Claro RD,@susanaabreu1486,Amenn,2026-08-18T20:28:48Z,1,1,Experiencia General de Marca
Ugw6nUzcs8Yev69Vl3R4AaABAg,z5VRwDNAoJY,Claro RD - La Conexión que nos une,Claro RD,@harolisnovas2914,"Tengo más de un año solicitando una fibra en casa, y por qué me está  un quilmetro del pueblo lo la ponen, y Neiva es más lejos y lo traen de allá.",2026-08-18T20:15:58Z,0,1,Fibra Óptica e Internet Hogar
UgxNwyc-cLKCuTLqLl14AaABAg,z5VRwDNAoJY,Claro RD - La Conexión que nos une,Claro RD,@RamonNuñez-z5y,Yo vivo en el ensanche espallaten santo Domingo oeste y no hay fibras óptica claros no as tirado alambre de la fibras óptica,2026-08-18T19:31:26Z,0,1,Fibra Óptica e Internet Hogar
Ugxu3fiZ7FnoE2rMTpB4AaABAg,lAvgw83L_dw,Claro RD - Activa la Red 5G en tu iPhone,Claro RD,@Mickeyjunior16,Si la sim card no tiene 5G para que activarlos ? Para gastar batería en searching todo el tiempo 😑,2026-08-18T19:01:17Z,0,0,Red Móvil y Cobertura 5G
UgwMO31yAaJOQWp8DQN4AaABAg,z5VRwDNAoJY,Claro RD - La Conexión que nos une,Claro RD,@free8615,Claro RD La mejor compañía ❤🎉🎉🎉yo no cambio de ninguna compañía,2026-08-18T18:47:28Z,4,1,Experiencia General de Marca
UgwHflf93WZdK71pJZZ4AaABAg,z5VRwDNAoJY,Claro RD - La Conexión que nos une,Claro RD,@guillermofigueroa7360,Necesitamos más covertura celular en la Cordillera central montañas de padres las casas en el camino a constanza,2026-08-18T18:41:05Z,3,1,Planes y Promociones
Ugxx-nfyszUe49qbyrJ4AaABAg,z5VRwDNAoJY,Claro RD - La Conexión que nos une,Claro RD,@luisalfredoreyes1935,"Conmigo....no han cumplido.  Mientras tanto, seguiré pensando que es solo publicidad engañosa...😢",2026-08-18T17:07:45Z,0,0,Experiencia General de Marca
UgwEAuT53Xl5cTitCm14AaABAg,z5VRwDNAoJY,Claro RD - La Conexión que nos une,Claro RD,@juansilie7601,"Yo definitivamente estoy totalmente de acuerdo de que CLARO es la compañía telefónica de mis y mejor cobertura, la más eficiente!",2026-08-18T16:40:04Z,1,1,Red Móvil y Cobertura 5G
UgwthRjhxADqitrdMfp4AaABAg,z5VRwDNAoJY,Claro RD - La Conexión que nos une,Claro RD,@Genesis-0102,"Pongan antena aquí , en mi sector , soy de burende la
Vega , en un sector quele dicen guaco los Garcia",2026-08-18T16:16:46Z,1,1,Experiencia General de Marca
